word1	word2	tier	diff
국	목	easy	sub@1:국→목
국	문	easy	sub@1:국→문
국	물	easy	sub@1:국→물
국	밖	easy	sub@1:국→밖
국	발	easy	sub@1:국→발
국	밤	easy	sub@1:국→밤
국	밥	easy	sub@1:국→밥
국	방	easy	sub@1:국→방
국	벽	easy	sub@1:국→벽
국	별	easy	sub@1:국→별
국	볼	easy	sub@1:국→볼
국	봄	easy	sub@1:국→봄
국	불	easy	sub@1:국→불
국	비	easy	sub@1:국→비
국	빵	easy	sub@1:국→빵
국	소	easy	sub@1:국→소
국	코	easy	sub@1:국→코
귀	꿈	easy	sub@1:귀→꿈
귀	낮	easy	sub@1:귀→낮
귀	눈	easy	sub@1:귀→눈
귀	달	easy	sub@1:귀→달
귀	등	easy	sub@1:귀→등
귀	말	easy	sub@1:귀→말
귀	목	easy	sub@1:귀→목
귀	문	easy	sub@1:귀→문
귀	물	easy	sub@1:귀→물
귀	밖	easy	sub@1:귀→밖
귀	발	easy	sub@1:귀→발
귀	밤	easy	sub@1:귀→밤
귀	밥	easy	sub@1:귀→밥
귀	방	easy	sub@1:귀→방
귀	벽	easy	sub@1:귀→벽
귀	별	easy	sub@1:귀→별
귀	볼	easy	sub@1:귀→볼
귀	봄	easy	sub@1:귀→봄
귀	불	easy	sub@1:귀→불
귀	비	easy	sub@1:귀→비
귀	빵	easy	sub@1:귀→빵
귀	소	easy	sub@1:귀→소
귀	코	easy	sub@1:귀→코
꿈	낮	easy	sub@1:꿈→낮
꿈	눈	easy	sub@1:꿈→눈
꿈	달	easy	sub@1:꿈→달
꿈	등	easy	sub@1:꿈→등
꿈	말	easy	sub@1:꿈→말
꿈	목	easy	sub@1:꿈→목
꿈	문	easy	sub@1:꿈→문
꿈	물	easy	sub@1:꿈→물
꿈	밖	easy	sub@1:꿈→밖
꿈	발	easy	sub@1:꿈→발
꿈	밤	easy	sub@1:꿈→밤
꿈	밥	easy	sub@1:꿈→밥
꿈	방	easy	sub@1:꿈→방
꿈	벽	easy	sub@1:꿈→벽
꿈	별	easy	sub@1:꿈→별
꿈	볼	easy	sub@1:꿈→볼
꿈	봄	easy	sub@1:꿈→봄
꿈	불	easy	sub@1:꿈→불
꿈	비	easy	sub@1:꿈→비
꿈	빵	easy	sub@1:꿈→빵
꿈	소	easy	sub@1:꿈→소
꿈	코	easy	sub@1:꿈→코
낮	눈	easy	sub@1:낮→눈
낮	달	easy	sub@1:낮→달
낮	등	easy	sub@1:낮→등
낮	말	easy	sub@1:낮→말
낮	목	easy	sub@1:낮→목
낮	문	easy	sub@1:낮→문
낮	물	easy	sub@1:낮→물
낮	밖	easy	sub@1:낮→밖
낮	발	easy	sub@1:낮→발
낮	밤	easy	sub@1:낮→밤
낮	밥	easy	sub@1:낮→밥
낮	방	easy	sub@1:낮→방
낮	벽	easy	sub@1:낮→벽
낮	별	easy	sub@1:낮→별
낮	볼	easy	sub@1:낮→볼
낮	봄	easy	sub@1:낮→봄
낮	불	easy	sub@1:낮→불
낮	비	easy	sub@1:낮→비
낮	빵	easy	sub@1:낮→빵
낮	소	easy	sub@1:낮→소
낮	코	easy	sub@1:낮→코
눈	달	easy	sub@1:눈→달
눈	등	easy	sub@1:눈→등
눈	말	easy	sub@1:눈→말
눈	목	easy	sub@1:눈→목
눈	문	easy	sub@1:눈→문
눈	물	easy	sub@1:눈→물
눈	밖	easy	sub@1:눈→밖
눈	발	easy	sub@1:눈→발
눈	밤	easy	sub@1:눈→밤
눈	밥	easy	sub@1:눈→밥
눈	방	easy	sub@1:눈→방
눈	벽	easy	sub@1:눈→벽
눈	별	easy	sub@1:눈→별
눈	볼	easy	sub@1:눈→볼
눈	봄	easy	sub@1:눈→봄
눈	불	easy	sub@1:눈→불
눈	비	easy	sub@1:눈→비
눈	빵	easy	sub@1:눈→빵
눈	소	easy	sub@1:눈→소
눈	코	easy	sub@1:눈→코
달	등	easy	sub@1:달→등
달	말	easy	sub@1:달→말
달	목	easy	sub@1:달→목
달	문	easy	sub@1:달→문
달	물	easy	sub@1:달→물
달	밖	easy	sub@1:달→밖
달	발	easy	sub@1:달→발
달	밤	easy	sub@1:달→밤
달	밥	easy	sub@1:달→밥
달	방	easy	sub@1:달→방
달	벽	easy	sub@1:달→벽
달	별	easy	sub@1:달→별
달	볼	easy	sub@1:달→볼
달	봄	easy	sub@1:달→봄
달	불	easy	sub@1:달→불
달	비	easy	sub@1:달→비
달	빵	easy	sub@1:달→빵
달	소	easy	sub@1:달→소
달	코	easy	sub@1:달→코
등	말	easy	sub@1:등→말
등	목	easy	sub@1:등→목
등	문	easy	sub@1:등→문
등	물	easy	sub@1:등→물
등	밖	easy	sub@1:등→밖
등	발	easy	sub@1:등→발
등	밤	easy	sub@1:등→밤
등	밥	easy	sub@1:등→밥
등	방	easy	sub@1:등→방
등	벽	easy	sub@1:등→벽
등	별	easy	sub@1:등→별
등	볼	easy	sub@1:등→볼
등	봄	easy	sub@1:등→봄
등	불	easy	sub@1:등→불
등	비	easy	sub@1:등→비
등	빵	easy	sub@1:등→빵
등	소	easy	sub@1:등→소
등	코	easy	sub@1:등→코
말	목	easy	sub@1:말→목
말	문	easy	sub@1:말→문
말	물	easy	sub@1:말→물
말	밖	easy	sub@1:말→밖
말	발	easy	sub@1:말→발
말	밤	easy	sub@1:말→밤
말	밥	easy	sub@1:말→밥
말	방	easy	sub@1:말→방
말	벽	easy	sub@1:말→벽
말	별	easy	sub@1:말→별
말	볼	easy	sub@1:말→볼
말	봄	easy	sub@1:말→봄
말	불	easy	sub@1:말→불
말	비	easy	sub@1:말→비
말	빵	easy	sub@1:말→빵
말	소	easy	sub@1:말→소
말	코	easy	sub@1:말→코
목	문	easy	sub@1:목→문
목	물	easy	sub@1:목→물
목	밖	easy	sub@1:목→밖
목	발	easy	sub@1:목→발
목	밤	easy	sub@1:목→밤
목	밥	easy	sub@1:목→밥
목	방	easy	sub@1:목→방
목	벽	easy	sub@1:목→벽
목	별	easy	sub@1:목→별
목	볼	easy	sub@1:목→볼
목	봄	easy	sub@1:목→봄
목	불	easy	sub@1:목→불
목	비	easy	sub@1:목→비
목	빵	easy	sub@1:목→빵
목	소	easy	sub@1:목→소
목	코	easy	sub@1:목→코
문	물	easy	sub@1:문→물
문	밖	easy	sub@1:문→밖
문	발	easy	sub@1:문→발
문	밤	easy	sub@1:문→밤
문	밥	easy	sub@1:문→밥
문	방	easy	sub@1:문→방
문	벽	easy	sub@1:문→벽
문	별	easy	sub@1:문→별
문	볼	easy	sub@1:문→볼
문	봄	easy	sub@1:문→봄
문	불	easy	sub@1:문→불
문	비	easy	sub@1:문→비
문	빵	easy	sub@1:문→빵
문	소	easy	sub@1:문→소
문	코	easy	sub@1:문→코
물	밖	easy	sub@1:물→밖
물	발	easy	sub@1:물→발
물	밤	easy	sub@1:물→밤
물	밥	easy	sub@1:물→밥
물	방	easy	sub@1:물→방
물	벽	easy	sub@1:물→벽
물	별	easy	sub@1:물→별
물	볼	easy	sub@1:물→볼
물	봄	easy	sub@1:물→봄
물	불	easy	sub@1:물→불
물	비	easy	sub@1:물→비
물	빵	easy	sub@1:물→빵
물	소	easy	sub@1:물→소
물	코	easy	sub@1:물→코
밖	발	easy	sub@1:밖→발
밖	밤	easy	sub@1:밖→밤
밖	밥	easy	sub@1:밖→밥
밖	방	easy	sub@1:밖→방
밖	벽	easy	sub@1:밖→벽
밖	별	easy	sub@1:밖→별
밖	볼	easy	sub@1:밖→볼
밖	봄	easy	sub@1:밖→봄
밖	불	easy	sub@1:밖→불
밖	비	easy	sub@1:밖→비
밖	빵	easy	sub@1:밖→빵
밖	소	easy	sub@1:밖→소
밖	코	easy	sub@1:밖→코
발	밤	easy	sub@1:발→밤
발	밥	easy	sub@1:발→밥
발	방	easy	sub@1:발→방
발	벽	easy	sub@1:발→벽
발	별	easy	sub@1:발→별
발	볼	easy	sub@1:발→볼
발	봄	easy	sub@1:발→봄
발	불	easy	sub@1:발→불
발	비	easy	sub@1:발→비
발	빵	easy	sub@1:발→빵
발	소	easy	sub@1:발→소
발	코	easy	sub@1:발→코
밤	밥	easy	sub@1:밤→밥
밤	방	easy	sub@1:밤→방
밤	벽	easy	sub@1:밤→벽
밤	별	easy	sub@1:밤→별
밤	볼	easy	sub@1:밤→볼
밤	봄	easy	sub@1:밤→봄
밤	불	easy	sub@1:밤→불
밤	비	easy	sub@1:밤→비
밤	빵	easy	sub@1:밤→빵
밤	소	easy	sub@1:밤→소
밤	코	easy	sub@1:밤→코
밥	방	easy	sub@1:밥→방
밥	벽	easy	sub@1:밥→벽
밥	별	easy	sub@1:밥→별
밥	볼	easy	sub@1:밥→볼
밥	봄	easy	sub@1:밥→봄
밥	불	easy	sub@1:밥→불
밥	비	easy	sub@1:밥→비
밥	빵	easy	sub@1:밥→빵
밥	소	easy	sub@1:밥→소
밥	코	easy	sub@1:밥→코
방	벽	easy	sub@1:방→벽
방	별	easy	sub@1:방→별
방	볼	easy	sub@1:방→볼
방	봄	easy	sub@1:방→봄
방	불	easy	sub@1:방→불
방	비	easy	sub@1:방→비
방	빵	easy	sub@1:방→빵
방	소	easy	sub@1:방→소
방	코	easy	sub@1:방→코
벽	별	easy	sub@1:벽→별
벽	볼	easy	sub@1:벽→볼
벽	봄	easy	sub@1:벽→봄
벽	불	easy	sub@1:벽→불
벽	비	easy	sub@1:벽→비
벽	빵	easy	sub@1:벽→빵
벽	소	easy	sub@1:벽→소
벽	코	easy	sub@1:벽→코
별	볼	easy	sub@1:별→볼
별	봄	easy	sub@1:별→봄
별	불	easy	sub@1:별→불
별	비	easy	sub@1:별→비
별	빵	easy	sub@1:별→빵
별	소	easy	sub@1:별→소
별	코	easy	sub@1:별→코
볼	봄	easy	sub@1:볼→봄
볼	불	easy	sub@1:볼→불
볼	비	easy	sub@1:볼→비
볼	빵	easy	sub@1:볼→빵
볼	소	easy	sub@1:볼→소
볼	코	easy	sub@1:볼→코
봄	불	easy	sub@1:봄→불
봄	비	easy	sub@1:봄→비
봄	빵	easy	sub@1:봄→빵
봄	소	easy	sub@1:봄→소
봄	코	easy	sub@1:봄→코
불	비	easy	sub@1:불→비
불	빵	easy	sub@1:불→빵
불	소	easy	sub@1:불→소
불	코	easy	sub@1:불→코
비	빵	easy	sub@1:비→빵
비	소	easy	sub@1:비→소
비	코	easy	sub@1:비→코
빵	소	easy	sub@1:빵→소
빵	코	easy	sub@1:빵→코
소	코	easy	sub@1:소→코
가방	가슴	medium	sub@2:방→슴
가방	가을	medium	sub@2:방→을
가방	가족	medium	sub@2:방→족
가슴	가을	medium	sub@2:슴→을
가슴	가족	medium	sub@2:슴→족
가을	가족	medium	sub@2:을→족
가을	마을	medium	sub@1:가→마
거실	교실	medium	sub@1:거→교
구름	여름	medium	sub@1:구→여
마당	마을	medium	sub@2:당→을
바닥	바람	medium	sub@2:닥→람
바람	사람	medium	sub@1:바→사
시간	시장	medium	sub@2:간→장
개	배	medium	sub@1:개→배
개	산	medium	sub@1:개→산
개	상	medium	sub@1:개→상
개	새	medium	sub@1:개→새
개	손	medium	sub@1:개→손
개	쌀	medium	sub@1:개→쌀
개	옷	medium	sub@1:개→옷
개	입	medium	sub@1:개→입
개	집	medium	sub@1:개→집
개	칼	medium	sub@1:개→칼
개	컵	medium	sub@1:개→컵
개	콩	medium	sub@1:개→콩
개	해	medium	sub@1:개→해
개	힘	medium	sub@1:개→힘
배	산	medium	sub@1:배→산
배	상	medium	sub@1:배→상
배	새	medium	sub@1:배→새
배	손	medium	sub@1:배→손
배	쌀	medium	sub@1:배→쌀
배	옷	medium	sub@1:배→옷
배	입	medium	sub@1:배→입
배	집	medium	sub@1:배→집
배	칼	medium	sub@1:배→칼
배	컵	medium	sub@1:배→컵
배	콩	medium	sub@1:배→콩
배	해	medium	sub@1:배→해
배	힘	medium	sub@1:배→힘
산	상	medium	sub@1:산→상
산	새	medium	sub@1:산→새
산	손	medium	sub@1:산→손
산	쌀	medium	sub@1:산→쌀
산	옷	medium	sub@1:산→옷
산	입	medium	sub@1:산→입
산	집	medium	sub@1:산→집
산	칼	medium	sub@1:산→칼
산	컵	medium	sub@1:산→컵
산	콩	medium	sub@1:산→콩
산	해	medium	sub@1:산→해
산	힘	medium	sub@1:산→힘
상	새	medium	sub@1:상→새
상	손	medium	sub@1:상→손
상	쌀	medium	sub@1:상→쌀
상	옷	medium	sub@1:상→옷
상	입	medium	sub@1:상→입
상	집	medium	sub@1:상→집
상	칼	medium	sub@1:상→칼
상	컵	medium	sub@1:상→컵
상	콩	medium	sub@1:상→콩
상	해	medium	sub@1:상→해
상	힘	medium	sub@1:상→힘
새	손	medium	sub@1:새→손
새	쌀	medium	sub@1:새→쌀
새	옷	medium	sub@1:새→옷
새	입	medium	sub@1:새→입
새	집	medium	sub@1:새→집
새	칼	medium	sub@1:새→칼
새	컵	medium	sub@1:새→컵
새	콩	medium	sub@1:새→콩
새	해	medium	sub@1:새→해
새	힘	medium	sub@1:새→힘
손	쌀	medium	sub@1:손→쌀
손	옷	medium	sub@1:손→옷
손	입	medium	sub@1:손→입
손	집	medium	sub@1:손→집
손	칼	medium	sub@1:손→칼
손	컵	medium	sub@1:손→컵
손	콩	medium	sub@1:손→콩
손	해	medium	sub@1:손→해
손	힘	medium	sub@1:손→힘
쌀	옷	medium	sub@1:쌀→옷
쌀	입	medium	sub@1:쌀→입
쌀	집	medium	sub@1:쌀→집
쌀	칼	medium	sub@1:쌀→칼
쌀	컵	medium	sub@1:쌀→컵
쌀	콩	medium	sub@1:쌀→콩
쌀	해	medium	sub@1:쌀→해
쌀	힘	medium	sub@1:쌀→힘
옷	입	medium	sub@1:옷→입
옷	집	medium	sub@1:옷→집
옷	칼	medium	sub@1:옷→칼
옷	컵	medium	sub@1:옷→컵
옷	콩	medium	sub@1:옷→콩
옷	해	medium	sub@1:옷→해
옷	힘	medium	sub@1:옷→힘
입	집	medium	sub@1:입→집
입	칼	medium	sub@1:입→칼
입	컵	medium	sub@1:입→컵
입	콩	medium	sub@1:입→콩
입	해	medium	sub@1:입→해
입	힘	medium	sub@1:입→힘
집	칼	medium	sub@1:집→칼
집	컵	medium	sub@1:집→컵
집	콩	medium	sub@1:집→콩
집	해	medium	sub@1:집→해
집	힘	medium	sub@1:집→힘
칼	컵	medium	sub@1:칼→컵
칼	콩	medium	sub@1:칼→콩
칼	해	medium	sub@1:칼→해
칼	힘	medium	sub@1:칼→힘
컵	콩	medium	sub@1:컵→콩
컵	해	medium	sub@1:컵→해
컵	힘	medium	sub@1:컵→힘
콩	해	medium	sub@1:콩→해
콩	힘	medium	sub@1:콩→힘
해	힘	medium	sub@1:해→힘
소방서	소방차	hard	sub@3:서→차
건물	동물	hard	sub@1:건→동
건물	식물	hard	sub@1:건→식
동물	식물	hard	sub@1:동→식
절구	친구	hard	sub@1:절→친
채반	채소	hard	sub@2:반→소
책	펜	hard	sub@1:책→펜
발가락	손가락	expert	sub@1:발→손
발가락	숟가락	expert	sub@1:발→숟
발가락	젓가락	expert	sub@1:발→젓
손가락	숟가락	expert	sub@1:손→숟
손가락	젓가락	expert	sub@1:손→젓
숟가락	젓가락	expert	sub@1:숟→젓
운동장	운동화	expert	sub@3:장→화
공원	병원	expert	sub@1:공→병
극장	천장	expert	sub@1:극→천
