zi4ji3|自己
yan3jing5|眼睛
zuo4dao4|做到
zen3yang4|怎样
sheng1yin1|声音
bian4cheng2|变成
shou4dao4|受到
jing1guo4|经过
zhi3neng2|只能
chong2xin1|重新
piao4liang5|漂亮
jing1chang2|经常
mian4qian2|面前
jie2mu4|节目
jian4kang1|健康
zuo4yong4|作用
shuo1ming2|说明
xu3duo1|许多
tong2yang4|同样
shen1bian1|身边
yue4lai2yue4|越来越
yi4si5|意思
yi4jian4|意见
zhu3yao4|主要
bu4shao3|不少
tao3lun4|讨论
chao1guo4|超过
bi3ru2|比如
hou4lai2|后来
zi4you2|自由
jiu4yao4|就要
jia1you2|加油
shi2fen1|十分
nian2qing1|年轻
tiao2jian4|条件
wan3an1|晚安
guang3gao4|广告
ti2chu1|提出
shang4wei4|尚未
di4qiu2|地球
wen2jian4|文件
cheng2xu4|程序
qu3dai4|取代
shi2ji4|实际
wei4neng2|未能
tou2ru4|投入
di4mian4|地面
fa3yuan4|法院
ying1chi3|英尺
zhong1gong4|中共
xiang1guan1|相关
sui2hou4|随后
biao1zhun3|标准
gai4nian4|概念
jian4zao4|建造
xiao4guo3|效果
jing3fang1|警方
she4you3|设有
zhi4zuo4|制作
fang1an4|方案
yue4tai2|月台
nan2zi5|男子
ou1zhou1|欧洲
kai1fa1|开发
yan3chang4|演唱
huang2di4|皇帝
di4xia4|地下
shui3yu4|水域
ju4da4|巨大
kuai4su4|快速
you3xiao4|有效
zhan4dou4|战斗
ren2gong1|人工
da4duo1|大多
ying3pian4|影片
ji2zhong1|集中
fa1biao3|发表
bu4fen4|部份
ge2ming4|革命
qi3ye4|企业
chuan2tong3|传统
wang3luo4|网络
hao2mi3|毫米
dan1wei4|单位
yuan2su4|元素
si1xiang3|思想
shui3ping2|水平
zhi1yuan2|支援
xun4su4|迅速
bei3bu4|北部
mei2ti3|媒体
ju1zhu4|居住
shi4min2|市民
jin4shi4|进士
bi4mian3|避免
jiao4tang2|教堂
ci3hou4|此后
sheng1zhang3|生长
ting2zhi3|停止
an4zhao4|按照
jie1jin4|接近
bao3liu2|保留
chu1qi1|初期
mou3xie1|某些
zhi2wu4|植物
sheng1ya2|生涯
he2ping2|和平
chang4pian4|唱片
he2xin1|核心
zhong1wen2|中文
qu3xiao1|取消
ming2cheng1|名称
li3lun4|理论
ke1xue2|科学
di4wu3|第五
wen2zhang1|文章
bu4zu2|不足
quan2mian4|全面
da4lu4|大陆
shi2xian4|实现
ti2sheng1|提升
cai2liao4|材料
zuo4chu1|作出
nan2bu4|南部
ge4di4|各地
de2yi3|得以
jin4zhi3|禁止
fan3hui2|返回
neng2liang4|能量
gao1zhong1|高中
chu1sheng1|出生
nan2jing1|南京
yi4shu4|艺术
zuo4zhe3|作者
shi2er4|十二
jian4cheng2|建成
de2zhi1|得知
pu3tong1|普通
biao3mian4|表面
fa1bu4|发布
zai4du4|再度
jing4nei4|境内
shi2dai4|时代
fan4wei2|范围
ren4ming4|任命
ji2qi2|及其
zhi2zhi4|直至
xi1fang1|西方
fan3dui4|反对
nian2du4|年度
zhi1xia4|之下
jie2zhi4|截至
yu3yan2|语言
bo1fang4|播放
bai2se4|白色
jiang4di1|降低
gong1min2|公民
ke3da2|可达
shi4bing1|士兵
wan2zheng3|完整
ba1shi4|巴士
pu3bian4|普遍
xian4lu4|线路
bei4jing3|背景
xu1qiu2|需求
ge4zhong3|各种
hai3jun1|海军
zhong1xue2|中学
ju3xing2|举行
zhong4da4|重大
ying4yong4|应用
xi1nan2|西南
yin1su4|因素
te4ding4|特定
feng1ge2|风格
gai3ming2|改名
sen1lin2|森林
wen2zi4|文字
you3zhu4|有著
yan3yuan2|演员
yuan2nian2|元年
chu1kou3|出口
cao1zuo4|操作
mo2xing2|模型
shi2wu4|食物
gong1fen1|公分
gong1ju4|工具
gai3shan4|改善
dian4|电
tong3zhi4|统治
sheng4li4|胜利
yi1jia1|一家
yi1bu4fen4|一部分
zhu3zhang1|主张
wei3da4|伟大
zen3me5ban4|怎么办
wo3yao4|我要
huan4|换
gai3|改
shi4yin1wei4|是因为
mao2ze2dong1|毛泽东
huo2|活
te4|特
gui1ze2|规则
mao4yi4|贸易
zhe4wei4|这位
mian4lin2|面临
xiang4|项
yi1zhang1|一张
yi1ju4|依据
lao2dong4|劳动
fa1chu1|发出
he2fa3|合法
ma1|妈
wang3|往
cheng2zhang3|成长
kuo4da4|扩大
yang4zi5|样子
xiang1dui4|相对
li2|离
yun4yong4|运用
lian4jie1|链接
bu4ke3|不可
bu4gou4|不够
xi2guan4|习惯
ya4|亚
chuan2|传
zuo4|坐
gan4bu4|干部
di2ren2|敌人
jiu4|旧
meng4|梦
min2zhong4|民众
tong1zhi1|通知
zhuan1men2|专门
yun2|云
hu4lian2wang3|互联网
ti3|体
ti3xian4|体现
xing4qu4|兴趣
ji3tian1|几天
ka3|卡
he1|喝
fu4za2|复杂
shao3shu4|少数
zhi3dao3|指导
ming2que4|明确
li3you2|理由
lian2he2guo2|联合国
ping2guo3|苹果
zhu4|著
ji4suan4|计算
huo4bi4|货币
ying2|赢
sui2|随
zheng1qu3|争取
chuan2bo1|传播
ti3zhi4|体制
zhi2|值
dan1|单
fou3ze2|否则
zhou1|周
shan1|山
du4|度
hen3da4|很大
hen3kuai4|很快
wo3hui4|我会
wen2|文
si1|斯
za2zhi4|杂志
man3zu2|满足
re4|热
dian4shi4tai2|电视台
yu3|语
jin4bu4|进步
lian2xu4|连续
zao1|遭
jiu3|久
jin1|今
cong2shi4|从事
you1xiu4|优秀
zhi4ding4|制定
bei3|北
shuang1|双
shi3|史
yuan2gong1|员工
qiang2lie4|强烈
tiao3zhan4|挑战
tui1jin4|推进
zheng3ti3|整体
wen2ming2|文明
ming2|明
xian3ran2|显然
mou3|某
te4dian3|特点
jie1|皆
kan4zhe5|看着
ke1|科
niu3yue1|纽约
mei3li4|美丽
lao3po2|老婆
fang3wen4|访问
ping2jia4|评价
gong4xian4|贡献
cai2chan3|财产
ju4li2|距离
na4zhong3|那种
zhong4shi4|重视
ye4|页
shi2pin3|食品
bu4hao3|不好
you1shi4|优势
shang1hai4|伤害
bao3zhang4|保障
guang1|光
liu4|六
jian1|兼
ban4|半
hai4pa4|害怕
dui4xiang4|对象
jin3|尽
shi1|师
gan3shou4|感受
cun1|村
an4|案
fa3gui1|法规
yi2dong4|移动
fan1yi4|翻译
biao3da2|表达
she4shi1|设施
chu2|除
ren2ren2|人人
bao1|包
hua4|化
guan1|官
er3|尔
jiu4|救
geng4hao3|更好
zui4xin1|最新
li3|李
shui4|睡
fu2li4|福利
zi4dong4|自动
jie1|街
zheng4ju4|证据
lu4xian4|路线
gao1ji2|高级
yi1jian4|一件
yi1duan4|一段
wan4yuan2|万元
zhu3yi4|主义
ren2cai2|人才
yi4yuan2|亿元
ke4|克
chong1tu1|冲突
chu1|初
juan3|卷
fa1hui1|发挥
shou4shang1|受伤
na3ge5|哪个
shang1pin3|商品
guo2min2|国民
guo2min2dang3|国民党
kuai4|块
da4bu4fen4|大部分
dang1nian2|当年
pa4|怕
ge2|格
xiao1fei4|消费
hong2|红
wang3you3|网友
zhi4jin1|至今
xi1ban1ya2|西班牙
yan2|言
ci2|词
ke4cheng2|课程
zi1ge2|资格
chao1ji2|超级
a1|阿
shou3ci4|首次
zhu4|驻
chan3|产
pei2xun4|培训
ru2jin1|如今
shan1dong1|山东
cha4|差
di4guo2|帝国
tui1guang3|推广
xin1jia1po1|新加坡
ji1zhi4|机制
ji1qi4|机器
bao4fa1|爆发
she4hui4zhu3yi4|社会主义
di4yi2ge4|第一个
ji4nian4|纪念
lun4|论
chao1|超
chen2|陈
feng1|风
shi4wu4|事务
fen4|份
chong1man3|充满
qu1bie2|区别
fan3ying4|反映
huai4|坏
chu3yu2|处于
shi2yan4|实验
zhan3kai1|展开
zhan4|战
diao4|掉
jie1|接
zhi1fu4|支付
shou1dao4|收到
jiao4xue2|教学
ji1xie4|机械
ji2|极
cha2|查
hua4|画
liang2shi2|粮食
wei2chi2|维持
jie2|节
guan1zhong4|观众
tie1|贴
zhe4jian4|这件
fei1zhou1|非洲
shang4mian4|上面
liang3nian2|两年
fa1dong4|发动
kou3|口
he2|合
tuan2jie2|团结
an1|安
shi2ji4shang4|实际上
xiao3xue2|小学
qiang2da4|强大
che4di3|彻底
dai4|待
qiang1|枪
wu3han4|武汉
bi3li4|比例
sheng1tai4|生态
guan1cha2|观察
gui1fan4|规范
yun4shu1|运输
liang4|量
chu1fa1|出发
qu3|取
ge4ge4|各个
ting1shuo1|听说
pei2yang3|培养
tian1xia4|天下
wan2mei3|完美
xin1li3|心里
huai2yi2|怀疑
xing4zhi4|性质
xiang3fa3|想法
cao1|操
fang1|方
zheng4shi4|正是
zhu4ce4|注册
ce4shi4|测试
wang3shang4|网上
zi1chan3|资产
yi1xiang4|一项
cong2lai2|从来
sheng1ji2|升级
shen3cha2|审查
jiu4ye4|就业
tou2|投
gua4|挂
shen1zhen4|深圳
you2xing2|游行
bai2|白
zhi2bo1|直播
que4bao3|确保
biao3|表
ling3|领
ling3dao3ren2|领导人
pian4|骗
yi1bu4|一步
xia4mian4|下面
dong1fang1|东方
zhong4duo1|众多
bei4|倍
gong1ping2|公平
wei4sheng1|卫生
fu4|复
duo1me5|多么
tai4yang2|太阳
shi2jian4|实践
shao4nv3|少女
gong1chang3|工厂
jian4|建
fang4zai4|放在
ri4zi5|日子
gou4cheng2|构成
mao2|毛
min2jian1|民间
zhu4|注
qing1|清
ai4qing2|爱情
shi2you2|石油
li4fa3|立法
zhuang1|装
san1nian2|三年
bu4gan3|不敢
yan2ge2|严格
ji3nian2|几年
li4|力
chang3|厂
da4gai4|大概
shen3pan4|审判
ceng2|层
ping2deng3|平等
yin3fa1|引发
dang1ju2|当局
shou1|收
yong4lai2|用来
jian1yu4|监狱
lian2bang1|联邦
du2zhe3|读者
fei4yong4|费用
wei2fa3|违法
jiu3dian4|酒店
dai4li3|代理
guan1bi4|关闭
chu1xi2|出席
pan4duan4|判断
shi4li4|势力
hou4mian4|后面
dao3yan3|导演
xiao3zu3|小组
mang2|忙
tui1|推
gu4|故
you3ge4|有个
zheng4yi4|正义
shen1|深
pian4|片
bing4|病
qu1shi4|趋势
zu2gou4|足够
zhuan3yi2|转移
zhui1|追
yu4suan4|预算
fei1|飞
yi1fen4|一份
yi1ju4|一句
yi1bu4|一部
luan4|乱
ren4he2ren2|任何人
zuo4chu1|做出
fen1lei4|分类
n2|嗯
si4ge4|四个
cheng2zhen4|城镇
duo1ge4|多个
jiu4suan4|就算
shi4zhang3|市长
kang4yi4|抗议
shi2ke4|时刻
lai2kan4|来看
biao1zhi4|标志
meng4xiang3|梦想
hai3|海
ban1|班
tong4ku3|痛苦
di2que4|的确
duan3|短
que4ren4|确认
li4chang3|立场
wang3ye4|网页
jiao3|脚
jin4kou3|进口
chong2qing4|重庆
yu4ce4|预测
pin2dao4|频道
zhu3dong4|主动
jiao1|交
xin4hao4|信号
xiang4shi4|像是
gang1cai2|刚才
ming2dan1|名单
di4zhen4|地震
gou4|够
dao3|岛
zuo3|左
ying1dang1|应当
dang1zhong1|当中
wei1xin4|微信
cheng2jiu4|成就
ting3|挺
jiang1su1|江苏
miao3|秒
luo2|罗
bu3chong1|补充
ji4|记
long2|龙
lin2shi2|临时
zheng1yi4|争议
ren2da4|人大
gong1|供
chong1|冲
ming4yun4|命运
ku1|哭
di4tu2|地图
sheng1ming2|声明
shi3zhong1|始终
shi2li4|实力
xiao3hai2|小孩
guang3da4|广大
gan3|敢
xin1jiang1|新疆
ao4zhou1|澳洲
zhao4gu4|照顾
niu2|牛
bai3du4|百度
jing4ran2|竟然
gu3fen4|股份
jiao3du4|角度
tiao4|跳
cai3fang3|采访
yan2se4|颜色
guan3|馆
zhang4fu1|丈夫
bu4xing2|不行
jiao1huan4|交换
ti3yan4|体验
can1kao3|参考
sha2|啥
da4duo1shu4|大多数
tian1tian1|天天
shi2|实
ju2|局
ba1xi1|巴西
dian4|店
wang4|忘
si1kao3|思考
shou4quan2|授权
you3qu4|有趣
wu3zhuang1|武装
zhao4|照
qiu2|球
deng3dai4|等待
zu3he2|组合
jing1dian3|经典
lv4se4|绿色
ji4suan4ji1|计算机
diao4|调
cai2fu4|财富
shi4ying4|适应
shi4dang4|适当
yi1zhi1|一只
yi1qun2|一群
yi4|义
shi4shi2shang4|事实上
er2|儿
dong4li4|动力
ji2jiang1|即将
zhou1nian2|周年
zan2men5|咱们
dui4dai4|对待
zuo4|座
bao4zhi3|报纸
ji4ran2|既然
lou2|楼
tai4guo2|泰国
lv4|率
pian1|篇
shi4|视
xiang4|象
zhuan4|赚
lian2jie2|连结
tong1|通
shou3du1|首都
hei1ren2|黑人
qi1|七
shang4shi4|上市
ren2min2bi4|人民币
ling4ren2|令人
hui4yuan2|会员
shi2nian2|十年
si1fa3|司法
sheng1|声
wan2shan4|完善
jia1zhang3|家长
dang1qian2|当前
yi4wai4|意外
gan3qing2|感情
wu1ran3|污染
jiu1jing4|究竟
da2an4|答案
hong2se4|红色
rou4|肉
bei4hou4|背后
neng2yuan2|能源
zi4sha1|自杀
xi1zang4|西藏
jiang3hua4|讲话
xiang2xi4|详细
lun2|轮
ling3xiu4|领袖
yu2|鱼
dong1bu4|东部
liang3zhong3|两种
xiang1cun1|乡村
jue2yi4|决议
ji2shi2|及时
ke3pa4|可怕
he2li3|合理
zeng1qiang2|增强
da4xue2sheng1|大学生
shi4|室
gong1zi1|工资
fu3|府
nong4|弄
yi4|意
cheng2guo3|成果
suo3you3ren2|所有人
qiang3|抢
shou1ji2|收集
bao4li4|暴力
qi1dai4|期待
wu4|物
sheng1cun2|生存
liu2|留
zhi1|知
zui4|罪
gu3|股
yao4shi4|要是
fei4|费
ying2de2|赢得
ma3lai2xi1ya4|马来西亚
wei2zhu3|为主
ban4li3|办理
dong4tai4|动态
fa1she4|发射
zai4xian4|在线
di4li3|地理
bu4|布
zong3jie2|总结
qing2|情
cheng2shu2|成熟
zheng4dang3|政党
shu4xue2|数学
ti4|替
tiao2li4|条例
lin2|林
shen1ru4|深入
xian4dai4hua4|现代化
dian4li4|电力
kan4fa3|看法
ke1xue2jia1|科学家
jian3zhi2|简直
jian3cheng1|简称
ying1|英
zheng4quan4|证券
qing3qiu2|请求
cai2zheng4|财政
zou3xiang4|走向
zhe4yi1|这一
zhui1qiu2|追求
luo2ji2|逻辑
ji2ti3|集体
shun4li4|顺利
ma4|骂
ma2fan2|麻烦
yi1zuo4|一座
ye4|业
le4|乐
yun2nan2|云南
ren2jia1|人家
lun2dun1|伦敦
dang3yuan2|党员
ju4bei4|具备
ting1|厅
si1ji1|司机
zhou1wei2|周围
zi1xun2|咨询
duo1jiu3|多久
da4zhong4|大众
ping2|平
yi4da4li4|意大利
yuan4|愿
ti2xing3|提醒
ge1|歌
gou1tong1|沟通
cai1|猜
ce4lve4|策略
chuan2|船
fei1lv4bin1|菲律宾
zhuan3bian4|转变
bian1|边
wei2fan3|违反
yu4ji4|预计
gui3|鬼
diu1|丢
jiu3|九
chuan2shuo1|传说
quan2ti3|全体
ci4ji1|刺激
xie2tiao2|协调
na3xie1|哪些
zhe2xue2|哲学
si4chuan1|四川
guo2hui4|国会
qi2guai4|奇怪
cha1yi4|差异
xing4yun4|幸运
gan3|感
cheng2dan1|承担
shou1gou4|收购
shou1fei4|收费
ri4chang2|日常
mei3ci4|每次
zhi4li3|治理
xiao1fei4zhe3|消费者
zhu1|猪
li3xiang3|理想
kan4qi3lai2|看起来
qian1shu3|签署
mei3nv3|美女
luo4shi2|落实
xue4|血
zhuang1bei4|装备
jie3fang4|解放
jing3gao4|警告
tui4chu1|退出
shi4yong4|适用
jiu3|酒
yi4mei3yuan2|亿美元
zuo4zhan4|作战
e2guo2|俄国
bao3xian3|保险
quan2min2|全民
dao4chu4|到处
qian2jin4|前进
hua4xue2|化学
bo2wu4guan3|博物馆
zhan4ling3|占领
fa1qi3|发起
tong2yi1|同一
ming4|命
nian2di3|年底
dang1xuan3|当选
xin1zhong1|心中
xiang3qi3|想起
fang2|房
she4ying3|摄影
ri4bao4|日报
ming2xing1|明星
xiang1hu4|相互
xiang1ying4|相应
po4|破
piao4|票
li4ke4|立刻
jie2lun4|结论
se4|色
cang2|藏
shi4yan4|试验
shu1|输
sui2shi2|随时
han2|韩
yi1sheng1|一生
shi4wu4|事物
yi1lang3|伊朗
ju4|具
fan3er2|反而
zuo4zai4|坐在
ji1|基
da4gui1mo2|大规模
an1zhuang1|安装
jiang1hui4|将会
xi1la4|希腊
nian2qing1ren2|年轻人
zong3bu4|总部
geng4shi4|更是
qi4|气
zhe4jiang1|浙江
man3|满
re4qing2|热情
xi1sheng1|牺牲
kong1qi4|空气
bian1|编
zhi2wu4|职务
gu3dong1|股东
qing1|轻
shou3|首
